id;id_fonction;libelle;description;pictogramme
1;Communications;Chair Garden;Sterling;bricks-and-clicks invoice Representative
2;digital Trail Executive;Mauritania;Portugal;Account
3;Home;microchip Lodge;Horizontal;driver
4;payment;vortals;Specialist purple;deposit
5;Home cross-platform invoice;Supervisor Missouri Investor;invoice indexing;FTP alliance
6;Georgia;Fresh Generic;Delaware;card
7;Frozen Future;driver Account Accountability;Greece engage cultivate;Account invoice state
8;Bedfordshire Pass Front-line;Product cohesive deposit;Beauty Dollar Cotton;uniform ADP engineer
9;Ford;Wall Strategist violet;Grocery ability Checking;Rial Communications
10;Frozen;Directives matrix;Cambridgeshire online extend;Industrial hour
